shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
cfe9de1b-705e-47a5-bedc-f34e75ddde5f,40.5837439348545,-80.2252157166729,227,35192.68
c07f27c5-dbc5-4654-a131-0d863f52898e,40.5725953324196,-80.2844362130425,148,29210.45
077f3c3c-8a97-4037-a458-1a129b30ff11,40.6747593387818,-80.3122131712564,313,31039.22
137055c8-eb0c-4281-a919-b143a7787088,40.5715814573515,-80.2170899639779,86,16886.17
b37ad0b1-5e56-423d-86a2-7b4dddb591b7,40.5933221038176,-80.2289386230074,141,22205.63
cfe9de1b-705e-47a5-bedc-f34e75ddde5f,40.443712499363,-79.9936807151842,382,63069.72
c07f27c5-dbc5-4654-a131-0d863f52898e,40.7092243855729,-80.3753094598835,50,9484.93
3013fe2e-5c0b-4fb1-9008-bd65467b34f8,40.7012555421147,-80.2845649590829,0,0
077f3c3c-8a97-4037-a458-1a129b30ff11,40.6181995939135,-80.2428995217621,25,6748.25
84e0d285-ee8a-424b-a127-945b27d5f09c,40.4487671225528,-80.0196230423226,351,61058.36
b37ad0b1-5e56-423d-86a2-7b4dddb591b7,40.6123255558208,-80.2263449267354,128,19669.36
a5db607b-9d25-4517-a2b2-7b8c47ac82fa,40.7332502742559,-80.3124693222326,112,15917.61
7cfb534f-eb12-4123-af99-74005ff0d76c,40.7018027127864,-80.2851067653362,85,14699.94
137055c8-eb0c-4281-a919-b143a7787088,40.5036263468043,-80.0810791600394,150,31289.39
b37ad0b1-5e56-423d-86a2-7b4dddb591b7,40.5275529937478,-80.161916921253,187,32243
137055c8-eb0c-4281-a919-b143a7787088,40.4437218870951,-79.9950526651771,266,42856.94
b42c23ec-ba3d-4216-88c2-e37983d818ed,40.7457252291277,-80.3196844649127,139,22534.2
077f3c3c-8a97-4037-a458-1a129b30ff11,40.6133555241439,-80.2648265817658,116,11294.66
a0a5a967-3e0d-43e8-94ef-1b92b496ed7e,40.467663286189,-80.0355365893564,28,5344.81
a5db607b-9d25-4517-a2b2-7b8c47ac82fa,40.7015961826799,-80.2854527703198,141,20426.42
e6a8e3c1-b6cf-4c82-9557-3b5d6959830b,40.5428321983118,-80.2725540263983,63,12466.25
e6a8e3c1-b6cf-4c82-9557-3b5d6959830b,40.5403364026747,-80.2723381085597,65,12744.48
e6a8e3c1-b6cf-4c82-9557-3b5d6959830b,40.4564556751523,-80.1865476481049,129,27926.94
c07f27c5-dbc5-4654-a131-0d863f52898e,40.6883903258079,-80.350499025017,65,12662.16
a5db607b-9d25-4517-a2b2-7b8c47ac82fa,40.7781960533974,-80.3845671048502,7,612.45
a4e232aa-a581-43a7-b2db-ecd2004dfb03,40.6701861721388,-80.3502978593289,29,3198.08
bb515512-e193-4fd8-8049-46b29514e90e,40.4407593870616,-80.018984676539,19,2153.03
84e0d285-ee8a-424b-a127-945b27d5f09c,40.7669039527717,-80.3192781102227,85,11951
b37ad0b1-5e56-423d-86a2-7b4dddb591b7,40.6854117325194,-80.2543793770301,83,10930.16
077f3c3c-8a97-4037-a458-1a129b30ff11,40.6154731282874,-80.2865457705585,195,19819.9
c3264727-6977-42da-9862-da70f03a7a15,40.7087094014114,-80.3249362304769,139,7122.11
7cfb534f-eb12-4123-af99-74005ff0d76c,40.6943555590126,-80.2635431446757,64,12399
2ddb8593-0271-4b48-8dfd-d53e68375359,40.7924801583576,-80.3565179024051,325,57327.25
b37ad0b1-5e56-423d-86a2-7b4dddb591b7,40.633799322474,-80.2273708717448,119,17273.92
c07f27c5-dbc5-4654-a131-0d863f52898e,40.7024719239754,-80.3662824849059,55,10557.14
077f3c3c-8a97-4037-a458-1a129b30ff11,40.6931083317464,-80.2809909153575,360,36468.97
137055c8-eb0c-4281-a919-b143a7787088,40.5189337145647,-80.136301823634,123,26240.32
077f3c3c-8a97-4037-a458-1a129b30ff11,40.6088748937175,-80.273822711338,127,12509.15
95db041a-5cbf-46e0-98cd-62f104a8512d,40.6881247870996,-80.3452968803225,64,13109.32
cfe9de1b-705e-47a5-bedc-f34e75ddde5f,40.5103184586953,-80.0948107299096,292,49979.32
7cfb534f-eb12-4123-af99-74005ff0d76c,40.6512980551301,-80.2353866538636,34,6898.62
